name,lng,lat
Solano Community College,-122.122368,38.235881
Sonoma State University,-122.673261,38.341023
South Baylo University,-117.958663,33.847936
Vanguard University of Southern California,-117.900911,33.662686
Starr King School for the Ministry,-122.261778,37.876939
Marshall B Ketchum University,-117.886158,33.889819
Southern California Institute of Architecture,-118.232703,34.04365
University of Southern California,-118.284169,34.021281
Southwestern Law School,-118.288375,34.061558
Claremont School of Theology,-117.715256,34.107602
Thomas Aquinas College,-119.087141,34.429009
Epic Bible College,-121.362642,38.645152
The Santa Barbara and Ventura Colleges of Law at Ventura,-119.232988,34.25747
Walden University,-93.265738,44.98125
West Los Angeles College,-118.387578,34.005578
Westminster Theological Seminary in California,-117.046371,33.121447
Westmont College,-119.661932,34.449265
Whittier College,-118.028402,33.977625
Woodbury University,-118.341147,34.208011
The Wright Institute,-122.253168,37.868221
Western State College of Law at Argosy University,,
Thomas Jefferson School of Law,-117.154191,32.71014
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,-118.346688,34.085494
Adams State University,-105.879642,37.473636
University of Colorado Denver/Anschutz Medical Campus,-104.837722,39.745149
University of Colorado Colorado Springs,-104.800296,38.892735
University of Colorado Boulder,-105.270823,40.008781
Colorado Christian University,-105.094836,39.711701
Colorado College,-104.822697,38.84886
The Art Institute of Colorado,-104.985847,39.735587
Colorado Mountain College,-107.324441,39.54636
Colorado School of Mines,-105.227148,39.75079
Colorado State University-Fort Collins,-105.080732,40.574805
Colorado Technical University-Colorado Springs,-104.833928,38.894265
Community College of Denver,-105.003007,39.74142
Denver Seminary,-105.022363,39.600595
University of Denver,-104.963259,39.678005
Fort Lewis College,-107.867003,37.275428
Iliff School of Theology,-104.960657,39.675927
Colorado Mesa University,-108.553275,39.080643
Metropolitan State University of Denver,-105.00504,39.744202
Naropa University,-105.266987,40.014235
National American University-Colorado Springs,-104.790551,38.95207
Nazarene Bible College,,
University of Northern Colorado,-104.692777,40.410855
Pueblo Community College,-104.636396,38.263458
Red Rocks Community College,-105.150094,39.720277
Regis University,-105.031385,39.78976
Rocky Mountain College of Art and Design,-105.069911,39.74332
Montessori Education Center of the Rockies,-105.241331,40.019673
Colorado State University-Pueblo,-104.579846,38.309219
